10000,"东部王国",,"Eastern Kingdoms"
10001,"卡利姆多",,"Kalimdor"
10008,"外域",,"Outland"
10010,"诺森德",,"Northrend"
10011,"大漩涡",,"The Maelstrom"
10012,"潘达利亚",,"Pandaria"
5736,"迷踪岛",10012,"The Wandering Isle"
5785,"翡翠林",10012,"The Jade Forest"
5805,"四风谷",10012,"Valley of the Four Winds"
5840,"锦绣谷",10012,"Vale of Eternal Blossoms"
5841,"昆莱山",10012,"Kun-Lai Summit"
5842,"螳螂高原",10012,"Townlong Steppes"
6006,"雾纱栈道",10012,"The Veiled Stair"
6134,"卡桑琅丛林",10012,"Krasarang Wilds"
6138,"恐惧废土",10012,"Dread Wastes"
6141,"双月殿",10012,"Shrine of Two Moons"
6142,"七星殿",10012,"Shrine of Seven Stars"
4720,"失落群岛",10011,"The Lost Isles"
4737,"科赞",10011,"Kezan"
5042,"深岩之洲",10011,"Deepholm"
5095,"托尔巴拉德",10011,"Tol Barad"
5389,"托尔巴拉德半岛",10011,"Tol Barad Peninsula"
5416,"大漩涡",10011,"The Maelstrom"
5630,"大漩涡",10011,"The Maelstrom"
65,"龙骨荒野",10010,"Dragonblight"
66,"祖达克",10010,"Zul'Drak"
67,"风暴峭壁",10010,"The Storm Peaks"
210,"冰冠冰川",10010,"Icecrown"
394,"灰熊丘陵",10010,"Grizzly Hills"
495,"嚎风峡湾",10010,"Howling Fjord"
2817,"晶歌森林",10010,"Crystalsong Forest"
3537,"北风苔原",10010,"Borean Tundra"
3711,"索拉查盆地",10010,"Sholazar Basin"
4197,"冬拥湖",10010,"Wintergrasp"
4395,"达拉然",10010,"Dalaran"
4742,"洛斯加尔登陆点",10010,"Hrothgar's Landing"
3430,"永歌森林",10008,"Eversong Woods"
3433,"幽魂之地",10008,"Ghostlands"
3483,"地狱火半岛",10008,"Hellfire Peninsula"
3487,"银月城",10008,"Silvermoon City"
3518,"纳格兰",10008,"Nagrand"
3519,"泰罗卡森林",10008,"Terokkar Forest"
3520,"影月谷",10008,"Shadowmoon Valley"
3521,"赞加沼泽",10008,"Zangarmarsh"
3522,"刀锋山",10008,"Blade's Edge Mountains"
3523,"虚空风暴",10008,"Netherstorm"
3524,"秘蓝岛",10008,"Azuremyst Isle"
3525,"秘血岛",10008,"Bloodmyst Isle"
3557,"埃索达",10008,"The Exodar"
3703,"沙塔斯城",10008,"Shattrath City"
4080,"奎尔丹纳斯岛",10008,"Isle of Quel'Danas"
6455,"逐日岛",10008,"Sunstrider Isle"
6456,"埃门谷",10008,"Ammen Vale"
14,"杜隆塔尔",10001,"Durotar"
15,"尘泥沼泽",10001,"Dustwallow Marsh"
