2,116,504,160,,,
39,384,389,459,202,392,278
40,429,492,538,535,357,536
41,429,492,538,535,357,536
42,429,492,538,535,357,536
43,429,492,538,535,357,536
44,429,492,538,535,357,536
45,429,492,538,535,357,536
46,429,492,538,535,357,536
47,420,521,170,202,162,190
49,420,521,170,202,162,190
50,420,521,170,202,162,190
51,420,521,170,202,162,190
52,112,524,642,420,162,581
55,119,155,706,193,283,519
56,393,347,170,122,256,169
57,429,589,593,115,592,624
58,115,168,170,122,172,169
59,115,595,254,525,597,598
64,118,123,233,228,230,232
65,118,123,233,228,230,232
67,112,784,517,184,190,518
68,112,784,517,184,190,518
69,112,784,517,184,190,518
70,367,162,364,253,165,159
72,119,162,159,360,312,163
74,110,155,159,152,158,156
75,110,155,159,152,158,156
77,110,155,159,152,158,156
78,110,155,159,152,158,156
83,112,389,208,455,533,459
84,112,524,642,420,162,581
85,116,634,754,455,640,282
86,777,640,636,455,634,293
87,420,421,595,440,277,190
89,110,165,364,360,362,366
90,378,339,383,380,382,250
92,110,247,345,347,348,124
93,113,256,471,472,468,650
94,110,194,160,193,197,198
95,118,123,233,228,230,278
106,118,123,233,228,230,232
107,111,756,350,193,757,163
111,111,756,350,193,757,163
114,445,447,450,449,448,369
115,118,419,423,424,426,276
116,384,204,208,202,206,209
117,477,206,120,478,414,481
118,493,254,539,163,574,376
119,477,206,624,413,835,586
120,477,206,624,413,835,586
121,111,756,350,193,757,163
122,771,772,773,774,775,776
124,110,348,345,347,247,206
125,110,310,376,249,123,566
126,493,165,252,499,578,376
127,119,359,163,360,283,253
128,113,178,179,501,172,409
130,112,357,186,184,567,170
131,115,764,609,608,188,752
132,356,511,513,509,310,273
136,484,486,489,360,488,490
137,119,162,159,360,312,163
138,420,506,507,504,162,508
139,420,506,507,504,162,508
140,420,506,507,504,162,508
141,420,506,507,504,162,508
142,429,492,501,184,179,503
143,429,492,501,184,179,503
144,429,492,501,184,179,503
145,429,492,501,184,179,503
146,119,632,706,420,506,270
149,112,784,517,184,190,518
153,119,515,376,571,594,124
154,493,165,252,499,578,572
155,493,165,252,499,578,376
156,349,347,352,492,350,354
157,228,474,468,473,475,476
158,110,310,377,112,162,568
159,349,375,376,377,283,163
160,119,492,527,360,576,539
162,113,318,303,398,402,745
163,803,509,538,160,118,423
164,803,509,538,160,118,423
165,118,123,233,228,230,232
166,349,375,376,377,283,163
167,420,743,746,210,745,632
168,777,524,392,112,640,645
169,115,204,176,122,347,170
170,493,165,252,499,578,376
171,493,165,252,499,578,376
172,113,178,179,501,172,409
173,803,509,538,160,118,423
174,803,509,538,160,118,423
175,113,173,409,112,178,179
179,115,611,170,122,614,503
180,115,611,170,122,614,503
183,111,751,752,114,216,277
186,110,122,422,421,420,394
187,110,383,186,357,521,517
188,499,206,624,782,784,786
189,765,766,767,768,769,770
190,210,212,654,121,442,321
191,777,640,636,455,634,293
192,112,528,413,509,575,529
193,119,360,163,253,152,283
194,420,190,521,202,162,170
195,420,190,521,202,162,170
196,115,503,612,110,611,347
197,110,155,159,152,158,156
198,112,528,413,509,575,529
199,114,323,299,421,589,476
200,119,162,159,360,312,163
201,112,524,580,420,579,581
202,110,348,345,347,247,206
203,493,254,539,163,574,376
204,119,630,318,310,268,400
205,110,247,345,347,348,124
206,110,357,186,383,521,517
207,356,165,359,355,357,124
209,493,253,539,541,497,163
210,110,310,377,112,162,568
211,356,511,310,509,123,513
212,394,396,402,398,303,400
213,452,453,456,455,457,459
214,111,,,,,
215,112,455,459,533,389,278
216,111,,,,,
217,111,760,761,360,158,762
218,210,178,763,501,592,476
220,119,630,318,310,268,400
224,429,492,538,535,357,536
225,111,631,669,118,667,668
226,111,670,741,110,740,345
227,777,640,392,455,634,293
228,788,791,645,789,760,301
229,484,486,489,360,488,490
230,113,256,471,468,172,650
231,432,492,538,535,431,536
232,110,364,538,193,357,305
233,110,364,538,193,357,305
234,110,364,538,193,357,305
235,110,364,538,193,357,305
236,110,364,538,193,357,305
237,110,364,538,193,357,305
238,110,364,538,193,357,305
239,110,364,538,193,357,305
240,429,436,364,437,347,621
241,420,,,,,
242,429,440,364,441,442,536
243,115,168,170,122,172,169
244,119,362,113,202,312,159
245,112,524,581,420,162,170
246,110,420,581,524,162,170
247,437,492,538,535,436,536
248,219,223,226,221,225,227
249,210,212,414,120,214,218
250,110,576,159,253,578,377
251,445,447,450,449,448,369
253,416,414,624,509,575,120
254,777,640,636,455,634,293
255,115,611,595,347,589,258
256,116,278,386,202,279,387
257,111,760,761,360,158,762
258,777,640,636,455,634,293
259,420,521,170,202,162,190
260,420,521,170,202,162,190
261,384,278,754,202,208,644
262,384,389,390,202,392,278
264,210,611,218,468,780,476
265,801,453,628,621,814,644
266,429,611,650,648,214,649
267,114,460,751,113,463,461
268,393,256,606,122,809,607
270,113,792,179,482,178,794
271,420,190,521,202,162,170
272,119,310,117,202,347,566
277,384,278,710,712,713,293
278,110,165,364,360,362,366
279,113,339,621,383,380,436
280,111,,,,,
281,111,,,,,
282,111,,,,,
