2,"克勒纳斯","Critter","未知来源","116;504;160","http://img.db.178.com/wow/icons/m/ability_warlock_avoidance.jpg",,,
39,"机械松鼠","Mechanical","专业技能","384;389;459;202;392;278","http://img.db.178.com/wow/icons/m/inv_pet_mechanicalsquirrel.jpg","机械松鼠体内的逻辑运算中心告诉它，要多多采集坚果和螺栓，以备冬季取用。",,
40,"灰猫","Beast","商人","429;492;538;535;357;536","http://img.db.178.com/wow/icons/m/inv_pet_cats_bombaycat.jpg","冬妮·安萨妮娅计划在她临终时找一只灰猫陪葬，聪明的冒险者此刻又能大展身手了。",,
41,"黄猫","Beast","商人","429;492;538;535;357;536","http://img.db.178.com/wow/icons/m/inv_pet_cats_cornishrexcat.jpg","冬妮·安萨妮娅邀请这些猫来她的午后茶会，但她没有提供它们最爱的饮品：敌人的眼泪。",,
42,"黑纹灰猫","Beast","掉落","429;492;538;535;357;536","http://img.db.178.com/wow/icons/m/inv_pet_cats_blacktabbycat.jpg","老奥特兰克俗语说：‘猫有九命，但却只需要其中之一。’","希尔斯布莱德丘陵",
43,"虎皮猫","Beast","商人","429;492;538;535;357;536","http://img.db.178.com/wow/icons/m/inv_pet_cats_orangetabbycat.jpg","上一个想要驯服这只猫的家伙很快意识到，地毯上有点污渍，总比整张地毯被撕成碎片来的强。",,
44,"黑尾白猫","Beast","商人","429;492;538;535;357;536","http://img.db.178.com/wow/icons/m/inv_pet_cats_siamesecat.jpg","它漂亮的蓝眼睛闻名遐迩，同时也被大鱼人视为美味佳肴。",,
45,"黑斑白猫","Beast","商人","429;492;538;535;357;536","http://img.db.178.com/wow/icons/m/inv_pet_cats_silvertabbycat.jpg","睡懒觉是这只猫的第二大嗜好。第一大嗜好是打哈欠。",,
46,"白猫","Beast","商人","429;492;538;535;357;536","http://img.db.178.com/wow/icons/m/inv_pet_cats_whitekitten.jpg","‘皇后有三只猫。第一只猫给她抓来了肥硕的老鼠；第二只猫给她弄来了美味的野兔；而最后那只她最爱的白猫，给她送上了仇敌的头颅。’",,
47,"红尾鹦鹉","Flying","商人","420;521;170;202;162;190","http://img.db.178.com/wow/icons/m/inv_feather_08.jpg","有人说这只聪明的鸟能学会说话——但它很机灵，知道什么叫沉默是金。",,
49,"花羽鹦鹉","Flying","掉落","420;521;170;202;162;190","http://img.db.178.com/wow/icons/m/inv_feather_08.jpg","丛林巨魔训练这些鸟儿模仿呼救声，引诱那些无知的旅行者并将他们引入陷阱。","北荆棘谷,荆棘谷海角",
50,"绿翼鹦鹉","Flying","掉落","420;521;170;202;162;190","http://img.db.178.com/wow/icons/m/inv_feather_12.jpg","这种五彩缤纷的小鸟是迪菲亚海盗喜爱的宠物，擅长记忆口令，购物清单和爆竹配方。","死亡矿井",
51,"金翼鹦鹉","Flying","商人","420;521;170;202;162;190","http://img.db.178.com/wow/icons/m/inv_feather_11.jpg","深受藏宝海湾地精们所喜爱的一个宠物，这只色彩艳丽的小鸟不仅会数钱，还会讨价还价，而且撒谎从不脸红。",,
52,"灰色小鸡","Flying","商人","112;524;642;420;162;581","http://img.db.178.com/wow/icons/m/spell_magic_polymorphchicken.jpg","在它看来，你吃上去也像鸡肉。",,
55,"幽暗城蟑螂","Critter","商人","119;155;706;193;283;519","http://img.db.178.com/wow/icons/m/inv_pet_cockroach.jpg","这只蟑螂通常是冲动消费的产物。购买者总是使劲浑身解数也难以摆脱它。",,
56,"黑龙宝宝","Dragonkin","掉落","393;347;170;122;256;169","http://img.db.178.com/wow/icons/m/inv_misc_head_dragon_black.jpg","但愿有一天，它们能长成像它们母亲那样能够攻城拔寨的巨龙。","湿地,尘泥沼泽,荒芜之地,燃烧平原",
57,"蓝龙宝宝","Dragonkin","掉落","429;589;593;115;592;624","http://img.db.178.com/wow/icons/m/inv_misc_head_dragon_blue.jpg","和蓝龙军团的其他成员一样，这些古怪的小龙展现出了对奥术魔法的非凡亲和力。","冬泉谷",
58,"红龙宝宝","Dragonkin","掉落","115;168;170;122;172;169","http://img.db.178.com/wow/icons/m/inv_misc_head_dragon_red.jpg","这头小龙来自湿地，还在学习捕猎、喷火并不断可爱地发着毁灭性脾气。",,
59,"绿龙宝宝","Dragonkin","掉落","115;595;254;525;597;598","http://img.db.178.com/wow/icons/m/inv_misc_head_dragon_green.jpg","这种独特的雏龙曾由绿龙伊萨里奥斯孵化并抚育，已经在菲拉斯的丛林中安居了下来。",,
